Frontiers in Pediatrics, Life Sciences
Annals of the Rheumatic Diseases, Multidisciplinary
Journal of the American Oil Chemists Society, Engineering & Technology
Surgical Case Reports, Multidisciplinary
Frontiers in Nutrition, Life Sciences
Annals of Gastroenterological Surgery, Multidisciplinary
Journal of Catalysis, Engineering & Technology
JACS Au, Multidisciplinary
Angewandte Chemie International Edition, Multidisciplinary
Angewandte Chemie, Multidisciplinary
Journal of Magnetism and Magnetic Materials, Physical Sciences
Journal of Chemical Theory and Computation, Physical Sciences
Industrial Crops and Products, Engineering & Technology
Frontiers in Human Neuroscience, Life Sciences
Biomedicines, Life Sciences
Frontiers in Public Health, Life Sciences
Advanced Functional Materials, Physical Sciences
Nano Letters, Engineering & Technology
ACS Omega, Multidisciplinary
Macromolecules, Multidisciplinary
Biomolecules, Multidisciplinary
Nucleic Acids Research, Multidisciplinary
Genes, Multidisciplinary
Biochemistry, Physical Sciences
The Lancet Public Health, Life Sciences
Journal of Pharmaceutical Policy and Practice, Social Sciences
Exploratory Research in Clinical and Social Pharmacy, Social Sciences
Future Science OA, Multidisciplinary
Frontiers in Health Services, Life Sciences
Frontiers in Chemistry, Physical Sciences
Substance Abuse Treatment Prevention and Policy, Social Sciences
BMC Public Health, Life Sciences
Respirology Case Reports, Multidisciplinary
Cureus, Multidisciplinary
Clinical Case Reports, Life Sciences
Biomedicine & Pharmacotherapy, Life Sciences
Respiratory Investigation, Multidisciplinary
Frontiers in Oncology, Life Sciences
Public Health, Life Sciences
Infection and Drug Resistance, Multidisciplinary
Alzheimer s & Dementia, Multidisciplinary
Toxins, Multidisciplinary
Frontiers in Immunology, Life Sciences
Journal of Translational Medicine, Life Sciences
Nutrients, Multidisciplinary
Stochastic Processes and their Applications, Multidisciplinary
Stochastic Partial Differential Equations Analysis and Computations, Humanities
Statistics and Computing, Engineering & Technology
Philosophical Transactions of the Royal Society A Mathematical Physical and Engineering Sciences, Engineering & Technology
Probability Theory and Related Fields, Multidisciplinary
Geoscientific model development, Multidisciplinary
Frontiers in Environmental Science, Multidisciplinary
Frontiers in Earth Science, Humanities
Water Resources Research, Multidisciplinary
Frontiers in Water, Multidisciplinary
Geoscience Data Journal, Physical Sciences
International Journal of Research in Civil Engineering and Technology, Engineering & Technology
Atmospheric Research, Multidisciplinary
Physica D Nonlinear Phenomena, Multidisciplinary
Journal of Non-Equilibrium Thermodynamics, Engineering & Technology
Polymers, Multidisciplinary
Colloids and Surfaces A Physicochemical and Engineering Aspects, Engineering & Technology
Journal of Chemical Technology & Biotechnology, Engineering & Technology
Polymer Engineering and Science, Engineering & Technology
Nutrition Journal, Life Sciences
European Radiology Experimental, Multidisciplinary
Metabolism, Multidisciplinary
Molecular Metabolism, Multidisciplinary
EBioMedicine, Life Sciences
ESC Heart Failure, Humanities
JAMA Cardiology, Multidisciplinary
Analytical Chemistry, Physical Sciences
The FASEB Journal, Multidisciplinary
Communications Biology, Social Sciences
Pflügers Archiv - European Journal of Physiology, Life Sciences
Journal of Cellular and Molecular Medicine, Life Sciences
Clinical Oral Implants Research, Life Sciences
Biochemical Pharmacology, Physical Sciences
The Agrarian Scientific Journal, Multidisciplinary
Food systems, Engineering & Technology
Tourism Management, Business & Economics
Neoplasia, Multidisciplinary
Human Pathology, Life Sciences
Annals of Diagnostic Pathology, Life Sciences
The Journal of Pathology, Life Sciences
Journal of Experimental & Clinical Cancer Research, Life Sciences
Archiv für Pathologische Anatomie und Physiologie und für Klinische Medicin, Multidisciplinary
Prostate Cancer and Prostatic Diseases, Multidisciplinary
Nature, Multidisciplinary
International Journal of Cancer, Engineering & Technology
npj Dementia, Multidisciplinary
Journal of Materials Science Materials in Engineering, Engineering & Technology
Veterinary Radiology & Ultrasound, Life Sciences
Case Reports in Veterinary Medicine, Life Sciences
International Journal of Nanomedicine, Life Sciences
Veterinary Surgery, Life Sciences
Anatomia Histologia Embryologia, Multidisciplinary
Archives of Public Health, Life Sciences
Journal of Scientific Computing, Engineering & Technology
Journal of Fluid Mechanics, Engineering & Technology
Journal of Advances in Modeling Earth Systems, Humanities
Journal of Cystic Fibrosis, Engineering & Technology
BMJ Health & Care Informatics, Engineering & Technology
npj Primary Care Respiratory Medicine, Life Sciences
Thorax, Multidisciplinary
PLOS Digital Health, Life Sciences
BMJ Open, Multidisciplinary
ERJ Open Research, Multidisciplinary
Developmental Medicine & Child Neurology, Life Sciences
npj Genomic Medicine, Life Sciences
The International Journal of Health Planning and Management, Business & Economics
Journal of Family Medicine and Primary Care, Life Sciences
Journal of Health Psychology, Social Sciences
BMC Endocrine Disorders, Multidisciplinary
The Clinical Teacher, Life Sciences
International Journal of Applied Positive Psychology, Social Sciences
Health An Interdisciplinary Journal for the Social Study of Health Illness and Medicine, Social Sciences
Neurourology and Urodynamics, Life Sciences
Journal of Pain, Engineering & Technology
Pain, Engineering & Technology
World Neurosurgery X, Life Sciences
Decision Analytics Journal, Multidisciplinary
Molecular Diagnosis & Therapy, Multidisciplinary
Frontiers in Pharmacology, Life Sciences
Pediatric Nephrology, Multidisciplinary
Advances In Image and Video Processing, Multidisciplinary
American Journal of Tropical Medicine and Hygiene, Life Sciences
Environmental Technology & Innovation, Engineering & Technology
Deep Underground Science and Engineering, Engineering & Technology
Computers and Geotechnics, Engineering & Technology
Geoscience Frontiers, Physical Sciences
Tunnelling and Underground Space Technology, Engineering & Technology
Techniques in Coloproctology, Multidisciplinary
Microbiology Spectrum, Life Sciences
Frontiers in Cellular and Infection Microbiology, Life Sciences
Journal of Virology, Life Sciences
Ecological Processes, Multidisciplinary
Global Change Biology, Life Sciences
Ecography, Multidisciplinary
Journal of Animal Ecology, Life Sciences
Oecologia, Multidisciplinary
Journal of Applied Ecology, Life Sciences
Ecology and Evolution, Life Sciences
Acta Physiologica, Multidisciplinary
Biological reviews/Biological reviews of the Cambridge Philosophical Society, Life Sciences
Temperature, Multidisciplinary
iMeta, Multidisciplinary
Diabetologia, Multidisciplinary
BMC Genomic Data, Life Sciences
MethodsX, Multidisciplinary
Intellectual Discourse, Multidisciplinary
Journal of Cachexia Sarcopenia and Muscle, Engineering & Technology
Cancer Medicine, Life Sciences
Science Immunology, Life Sciences
European Journal of Immunology, Life Sciences
Kidney International Reports, Multidisciplinary
Cancer Letters, Engineering & Technology
npj Metabolic Health and Disease, Life Sciences
European Urology Open Science, Multidisciplinary
International Journal for Parasitology Drugs and Drug Resistance, Multidisciplinary
American Journal Of Pathology, Life Sciences
Clinical Pharmacology & Therapeutics, Life Sciences
Drug Discovery Today, Multidisciplinary
PROTEOMICS, Multidisciplinary
Microbiome, Multidisciplinary
Resuscitation Plus, Multidisciplinary
Arthritis & Rheumatology, Humanities
Nature Medicine, Life Sciences
Nature Microbiology, Life Sciences
The American Journal of Emergency Medicine, Life Sciences
JAMA Network Open, Engineering & Technology
Journal of the American College of Emergency Physicians Open, Engineering & Technology
Academic Emergency Medicine, Life Sciences
Archives of Disease in Childhood, Multidisciplinary
JAMIA Open, Multidisciplinary
Open Forum Infectious Diseases, Multidisciplinary
Journal of Orthopaedics, Engineering & Technology
Cortex, Multidisciplinary
Family Medicine, Life Sciences
Annals of Neurology, Life Sciences
International Journal of Clinical and Health Psychology, Social Sciences
NeuroImage Clinical, Life Sciences
Annals of Emergency Medicine, Life Sciences
Nano Research, Multidisciplinary
European Journal of Pharmacology, Life Sciences
Metrology and instruments, Multidisciplinary
Viruses, Multidisciplinary
The Science of The Total Environment, Multidisciplinary
European Journal of Pediatrics, Life Sciences
Diagnostics, Multidisciplinary
npj gut and liver., Multidisciplinary
Legal Medicine, Social Sciences
Journal of Pharmaceutical and Biomedical Analysis Open, Life Sciences
Scientific Data, Multidisciplinary
Materials, Physical Sciences
Journal of Neurochemistry, Physical Sciences
Frontiers in Aging Neuroscience, Life Sciences
Foods, Multidisciplinary
npj 2D Materials and Applications, Physical Sciences
Biomedical Microdevices, Life Sciences
Materials Today Energy, Physical Sciences
Journal of Materials Science, Physical Sciences
Materialia, Multidisciplinary
Revista Nacional de Gerenciamento de Cidades, Multidisciplinary
Journal of Nonlinear Mathematical Physics, Physical Sciences
Journal of Mathematics, Physical Sciences
Environmental Research, Multidisciplinary
JP Journal of Biostatistics, Engineering & Technology
Alexandria Engineering Journal, Engineering & Technology
Journal of Clinical Investigation, Life Sciences
Nature Biomedical Engineering, Engineering & Technology
Molecular Therapy — Methods & Clinical Development, Life Sciences
Journal of Renal Nutrition, Life Sciences
Clinical Nutrition ESPEN, Life Sciences
Extracellular Vesicles and Circulating Nucleic Acids, Multidisciplinary
Drugs, Multidisciplinary
The Breast, Multidisciplinary
Cancer Communications, Social Sciences
Immuno-Oncology Technology, Engineering & Technology
Nephrology Dialysis Transplantation, Multidisciplinary
Journal for ImmunoTherapy of Cancer, Multidisciplinary
BMC Infectious Diseases, Multidisciplinary
Australian and New Zealand Journal of Family Therapy, Engineering & Technology
Narra J, Multidisciplinary
Journal Of Vocational Health Studies, Life Sciences
F1000Research, Multidisciplinary
Environmental Research and Planetary Health, Life Sciences
The Indonesian Journal of Occupational Safety and Health, Life Sciences
Media Gizi Indonesia, Social Sciences
The Indonesian Journal of Public Health, Life Sciences
Amerta Nutrition, Life Sciences
Canadian Journal of Ophthalmology, Engineering & Technology
Ophthalmology Glaucoma, Multidisciplinary
Journal of Cataract & Refractive Surgery, Engineering & Technology
Translational Vision Science & Technology, Engineering & Technology
Science Advances, Multidisciplinary
Journal of Fungi, Engineering & Technology
World Journal of Critical Care Medicine, Life Sciences
European Urology Oncology, Life Sciences
International Journal of Language & Communication Disorders, Social Sciences
Human Molecular Genetics, Life Sciences
Journal of Memory and Language, Engineering & Technology
Aquatic Conservation Marine and Freshwater Ecosystems, Engineering & Technology
Advanced Materials, Physical Sciences
Drug Delivery, Multidisciplinary
International Journal of Emergency Medicine, Life Sciences
European Journal of Trauma and Emergency Surgery, Engineering & Technology
Advances in Patient-Reported Outcomes, Multidisciplinary
Acta Neurologica Belgica, Life Sciences
European Journal of Neurology, Life Sciences
European Stroke Journal, Multidisciplinary
Computational Geosciences, Physical Sciences
Computer Physics Communications, Social Sciences
Advances in Water Resources, Multidisciplinary
Journal of Geophysical Research Machine Learning and Computation, Engineering & Technology
Antioxidants, Multidisciplinary
BMC Plant Biology, Life Sciences
Plants, Multidisciplinary
Plant Physiology and Biochemistry, Physical Sciences
Journal of Physical Activity Research, Engineering & Technology
CNS Drugs, Multidisciplinary
Eye and Vision, Multidisciplinary
Investigative Ophthalmology & Visual Science, Multidisciplinary
World Journal of Clinical Cases, Life Sciences
Eye, Multidisciplinary
Ophthalmology, Multidisciplinary
Trials, Multidisciplinary
Annals of Clinical and Translational Neurology, Life Sciences
Multiple Sclerosis and Related Disorders, Multidisciplinary
Canadian Journal of Surgery, Engineering & Technology
European Psychiatry, Multidisciplinary
Klinische Monatsblätter für Augenheilkunde, Multidisciplinary
Documenta Ophthalmologica, Multidisciplinary
Ophthalmology Retina, Multidisciplinary
The American Journal of Human Genetics, Life Sciences
Therapeutic Advances in Ophthalmology, Multidisciplinary
Ophthalmology Science, Multidisciplinary
Rheumatology International, Multidisciplinary
Ophthalmologica, Multidisciplinary
BMC Ophthalmology, Multidisciplinary
Clinical and Experimental Ophthalmology, Life Sciences
Frontiers in Neuroscience, Life Sciences
Journal of the Neurological Sciences, Life Sciences
Journal of Neurology, Life Sciences
Biochimica et Biophysica Acta (BBA) - Proteins and Proteomics, Multidisciplinary
Immunology Letters, Life Sciences
Acta Neuropathologica Communications, Social Sciences
Neuroscience, Life Sciences
Neurología, Life Sciences
Neurología (English Edition), Life Sciences
Frontiers in Psychology, Social Sciences
Brain, Engineering & Technology
Journal of Nuclear Medicine, Life Sciences
Ophthalmology and Therapy, Multidisciplinary
Multiple Sclerosis Journal - Experimental Translational and Clinical, Life Sciences
Brain and Behavior, Engineering & Technology
European Archives of Psychiatry and Clinical Neuroscience, Life Sciences
Seminars in Immunology, Life Sciences
Therapeutic Advances in Neurological Disorders, Life Sciences
Brain Communications, Social Sciences
Frontiers in Neurology, Life Sciences
BMJ Open Ophthalmology, Multidisciplinary
Life, Multidisciplinary
European Heart Journal - Digital Health, Humanities
Journal of Clinical Monitoring and Computing, Engineering & Technology
European Radiology, Multidisciplinary
iScience, Multidisciplinary
Pharmaceutics, Multidisciplinary
PLoS Computational Biology, Life Sciences
Acta Ophthalmologica, Multidisciplinary
ESMO Open, Multidisciplinary
The Journal of Rheumatology, Engineering & Technology
Neurotherapeutics, Life Sciences
Journal of Attention Disorders, Engineering & Technology
JAMA Pediatrics, Life Sciences
Journal of Arrhythmia, Engineering & Technology
Cardiovascular Intervention and Therapeutics, Multidisciplinary
Journal of Pharmacy And Bioallied Sciences, Multidisciplinary
Journal of Occupational Medicine and Toxicology, Life Sciences
Computers and Electronics in Agriculture, Engineering & Technology
Ecotoxicology and Environmental Safety, Multidisciplinary
Ecological Indicators, Multidisciplinary
Urban forestry & urban greening, Multidisciplinary
Aerosol and Air Quality Research, Engineering & Technology
International Journal of Epidemiology, Engineering & Technology
Environmental Health and Preventive Medicine, Life Sciences
International Journal of Hygiene and Environmental Health, Life Sciences
Toxics, Multidisciplinary
Journal of the Formosan Medical Association, Life Sciences
Frontiers in Endocrinology, Multidisciplinary
The Lancet Regional Health - Western Pacific, Life Sciences
International Urology and Nephrology, Multidisciplinary
Respiratory Research, Multidisciplinary
Anticancer Research, Multidisciplinary
Social Policy and Administration, Social Sciences
IPPR Progressive Review, Engineering & Technology
Innovation in Aging, Multidisciplinary
Advanced Materials Interfaces, Physical Sciences
Seminars in Perinatology, Multidisciplinary
Nature Machine Intelligence, Multidisciplinary
Journal of Perinatology, Engineering & Technology
npj Women s Health, Life Sciences
Innovative Marketing, Business & Economics
Journal of Economics and Management Scienties, Business & Economics
International Journal of Innovation and Thinking, Engineering & Technology
Jurnal Manajemen Bisnis Era Digital, Multidisciplinary
International Journal of Economics and Management Research, Business & Economics
Forum for Linguistic Studies, Multidisciplinary
ChemistryOpen, Physical Sciences
RSC Advances, Multidisciplinary
Indus journal of bioscience research., Multidisciplinary
The Professional Medical Journal, Life Sciences
Journal of Adolescence, Engineering & Technology
British Journal of Educational Psychology, Social Sciences
Harm Reduction Journal, Multidisciplinary
Frontiers in Robotics and AI, Engineering & Technology
Learning and Individual Differences, Multidisciplinary
Annals of Nuclear Energy, Physical Sciences
Transactions of Nonferrous Metals Society of China, Engineering & Technology
Arabian Journal of Chemistry, Physical Sciences
Asia Pacific Economic and Management Review, Business & Economics
Frontiers in Surgery, Multidisciplinary
International Journal of Adhesion and Adhesives, Engineering & Technology
Journal of Materials Research and Technology, Engineering & Technology
The International Journal of Advanced Manufacturing Technology, Engineering & Technology
Korean Circulation Journal, Multidisciplinary
APL Bioengineering, Engineering & Technology
The Egyptian Journal of Neurosurgery : the official publication of the Egyptian Society of Neurological Surgeons/Egyptian journal of neurosurgery, Life Sciences
Asian Journal of Neurosurgery, Life Sciences
Communications Physics, Social Sciences
Cancer, Multidisciplinary
Journal of Plasma Physics, Physical Sciences
Fusion Engineering and Design, Engineering & Technology
Chemical Engineering Journal, Engineering & Technology
Heliyon, Multidisciplinary
Results in Engineering, Engineering & Technology
Micromachines, Multidisciplinary
Journal of Electrical Electronic Information and Communication Technology, Social Sciences
Journal of Advanced Research in Micro and Nano Engieering, Engineering & Technology
Journal of Cancer Survivorship, Engineering & Technology
Neuro-Oncology Advances, Life Sciences
International Psychogeriatrics, Multidisciplinary
Behavioral Sciences, Multidisciplinary
Journal of Psychiatric Research, Engineering & Technology
PLOS mental health., Life Sciences
Journal of Aging Research, Engineering & Technology
BMC Nursing, Multidisciplinary
The Lancet Healthy Longevity, Life Sciences
Frontiers in Psychiatry, Multidisciplinary
The Journals of Gerontology Series B, Multidisciplinary
Sensors, Multidisciplinary
Journal of Clinical Nursing, Life Sciences
Journal of Intelligent & Robotic Systems, Engineering & Technology
Psychological Research, Multidisciplinary
Management of Development of Complex Systems, Business & Economics
Environmental Research Engineering and Management, Business & Economics
Herald of Kazakh-British technical university, Multidisciplinary
Environmental Earth Sciences, Humanities
Journal of Hydrology, Engineering & Technology
Applied Geochemistry, Physical Sciences
Journal of Contaminant Hydrology, Engineering & Technology
Brazilian Journal of Motor Behavior, Engineering & Technology
REVISTA DA ASSOCIAÇÃO BRASILEIRA DE ATIVIDADE MOTORA ADAPTADA, Multidisciplinary
Brazilian Journal of Medical and Biological Research, Life Sciences
Revista Brasileira de Atividade Física & Saúde, Multidisciplinary
Frontiers in Education, Social Sciences
Educoretax, Multidisciplinary
Intangible Capital, Multidisciplinary
Qubahan Academic Journal, Multidisciplinary
Landscape Ecology, Life Sciences
npj Heritage Science, Humanities
Journal of Building Engineering, Engineering & Technology
International Journal of Disaster Risk Reduction, Engineering & Technology
The Italian Journal of Pediatrics/Italian journal of pediatrics, Life Sciences
Journal of Medical Virology, Life Sciences
Vaccines, Multidisciplinary
International Journal of Infectious Diseases, Engineering & Technology
Virology Journal, Life Sciences
Dentistry Journal, Multidisciplinary
Oral Diseases, Multidisciplinary
Journal of Business Research, Business & Economics
Journal of Business and Psychology, Business & Economics
Journal of Environmental Psychology, Social Sciences
Sleep Health, Life Sciences
Applied Ergonomics, Multidisciplinary
Journal of Occupational and Organizational Psychology, Social Sciences
International Journal of Selection and Assessment, Engineering & Technology
European Management Journal, Business & Economics
Current Opinion in Psychology, Social Sciences
Communications Chemistry, Social Sciences
NPG Asia Materials, Physical Sciences
Analytical Sciences, Multidisciplinary
Surgical Oncology Insight, Life Sciences
EClinicalMedicine, Life Sciences
Annals of Surgical Oncology, Life Sciences
British journal of surgery, Engineering & Technology
Cells, Multidisciplinary
CJC Open, Multidisciplinary
Pain Practice, Engineering & Technology
Endoscopy, Multidisciplinary
BJA Open, Multidisciplinary
BJS Open, Multidisciplinary
International Journal of Implant Dentistry, Engineering & Technology
Journal of Oral and Maxillofacial Surgery, Engineering & Technology
Orthodontics and Craniofacial Research, Multidisciplinary
Journal of Research in Personality, Engineering & Technology
Oral and Maxillofacial Surgery, Multidisciplinary
Journal of Cranio-Maxillofacial Surgery, Engineering & Technology
Early Childhood Education Journal, Social Sciences
BMC Primary Care, Multidisciplinary
Translational Behavioral Medicine, Life Sciences
Pediatric Obesity, Multidisciplinary
International Journal for Equity in Health, Life Sciences
Canadian Medical Association Journal, Life Sciences
Pediatric Blood & Cancer, Multidisciplinary
Journal of Psychosomatic Research, Engineering & Technology
Obesity Reviews, Engineering & Technology
Child Care Health and Development, Life Sciences
Preventive Medicine, Life Sciences
Canadian Journal of Occupational Therapy, Engineering & Technology
Current Developments in Nutrition, Life Sciences
Journal of Anesthesia Analgesia and Critical Care, Engineering & Technology
European Journal of Public Health, Life Sciences
Patient Preference and Adherence, Multidisciplinary
Journal of Ethics and Emerging Technologies, Humanities
Alimentary Pharmacology & Therapeutics, Life Sciences
Annals of Intensive Care, Multidisciplinary
Eastern-European Journal of Enterprise Technologies, Engineering & Technology
Technology audit and production reserves, Engineering & Technology
Advanced Information Systems, Engineering & Technology
RADIOELECTRONIC AND COMPUTER SYSTEMS, Engineering & Technology
Системи управління навігації та зв’язку Збірник наукових праць, Multidisciplinary
Social Psychiatry and Psychiatric Epidemiology, Social Sciences
BMC Psychiatry, Multidisciplinary
International Journal For Multidisciplinary Research, Multidisciplinary
BMC Health Services Research, Life Sciences
BMC Medical Education, Social Sciences
Biochar, Multidisciplinary
Land Degradation and Development, Multidisciplinary
Acta Geochimica, Multidisciplinary
BMC Veterinary Research, Life Sciences
Annals of Animal Science, Multidisciplinary
Environmental Sciences Europe, Multidisciplinary
Chemical and Biological Technologies in Agriculture, Engineering & Technology
Chemistry & Biodiversity, Physical Sciences
Diabetes Epidemiology and Management, Business & Economics
Frontiers in Plant Science, Multidisciplinary
Limnology and Oceanography Methods, Physical Sciences
Neuro-Oncology, Life Sciences
Nature Cardiovascular Research, Multidisciplinary
npj Parkinson s Disease, Multidisciplinary
Journal of Neuropathology & Experimental Neurology, Life Sciences
Annals of Oncology, Life Sciences
ESMO Real World Data and Digital Oncology, Life Sciences
Osteoarthritis and Cartilage, Humanities
Journal of Neuro-Oncology, Life Sciences
npj Imaging, Multidisciplinary
The Lancet Oncology, Life Sciences
JHEP Reports, Multidisciplinary
Journal of the Korean Society of Radiology, Engineering & Technology
Journal of Extracellular Biology, Life Sciences
Gut and Liver, Multidisciplinary
Journal of Korean Medical Science, Life Sciences
International Journal of Surgery Case Reports, Engineering & Technology
Asian Journal of Surgery, Engineering & Technology
BMC Complementary Medicine and Therapies, Life Sciences
Annals of Medicine, Life Sciences
Comprehensive Psychiatry, Multidisciplinary
Resuscitation, Multidisciplinary
Cell Reports Physical Science, Multidisciplinary
Cell Reports Medicine, Life Sciences
Aging Cell, Multidisciplinary
GeroScience, Multidisciplinary
The Journal of Physiology, Life Sciences
European Journal of Neuroscience, Life Sciences
Pharmaceuticals, Life Sciences
Cell Death and Disease, Multidisciplinary
Frontiers in Cardiovascular Medicine, Life Sciences
Journal of Infection and Public Health, Life Sciences
The Journals of Gerontology Series A, Multidisciplinary
Social Sciences & Humanity Research Review, Social Sciences
Irish Journal of Medical Science (1971 -), Life Sciences
BDJ Open, Multidisciplinary
Health Science Reports, Life Sciences
Journal of Industrial and Business Economics, Business & Economics
World Development, Multidisciplinary
Nature Sustainability, Engineering & Technology
Energy Policy, Social Sciences
Genetics in Medicine Open, Life Sciences
Journal of General Internal Medicine, Life Sciences
JAMA Health Forum, Life Sciences
Learning Health Systems, Engineering & Technology
Journal of Participatory Research Methods, Humanities
Mayo Clinic Proceedings Digital Health, Life Sciences
Women s Health Reports, Life Sciences
Journal of the International Association of Providers of AIDS Care (JIAPAC), Engineering & Technology
Current Environmental Health Reports, Life Sciences
Energy Research & Social Science, Social Sciences
Appetite, Multidisciplinary
International Journal of Social Robotics, Social Sciences
Brain Behavior and Immunity, Engineering & Technology
Malignant tumours, Multidisciplinary
Current Oncology, Life Sciences
South African Journal of Higher Education, Social Sciences
Journal of Management and Business Education, Business & Economics
International Journal of Business Ecosystem and Strategy (2687-2293), Business & Economics
Obesity Surgery, Multidisciplinary
BMJ Mental Health, Life Sciences
Canadian Journal of Public Health, Life Sciences
Sustainable Water Resources Management, Business & Economics
Environmental Science and Pollution Research, Multidisciplinary
Earth Systems and Environment, Humanities
Environmental Monitoring and Assessment, Multidisciplinary
Marine Pollution Bulletin, Multidisciplinary
Chemical Engineering Journal Advances, Engineering & Technology
Soil Science Society of America Journal, Multidisciplinary
International Journal of Biological Macromolecules, Life Sciences
Chinese Journal of Aeronautics, Engineering & Technology
Advanced Quantum Technologies, Engineering & Technology
The Journal of Headache and Pain, Engineering & Technology
Poultry Science, Multidisciplinary
Gut Microbes, Multidisciplinary
Virologica Sinica, Multidisciplinary
mBio, Multidisciplinary
Cellular and Molecular Life Sciences, Multidisciplinary
Virus Evolution, Multidisciplinary
DNA Research, Multidisciplinary
Journal of Orthopaedic Surgery and Research, Engineering & Technology
The Journal of Pathology Clinical Research, Life Sciences
Aging and Disease, Multidisciplinary
Diabetes/Metabolism Research and Reviews, Engineering & Technology
Journal of Inflammation Research, Engineering & Technology
International Journal of Coal Science & Technology, Engineering & Technology
Advances in Civil Engineering, Engineering & Technology
The EMBO Journal, Multidisciplinary
Antibiotics, Multidisciplinary
Children, Multidisciplinary
Journal of Personalized Medicine, Life Sciences
Nephrology, Multidisciplinary
World Journal of Gastroenterology, Engineering & Technology
Current Issues in Molecular Biology, Life Sciences
European Scientific Journal ESJ, Multidisciplinary
Journal of Bone and Joint Infection, Engineering & Technology
Communications Psychology, Social Sciences
Biological Psychiatry Cognitive Neuroscience and Neuroimaging, Life Sciences
Current Opinion in Neurobiology, Life Sciences
Journal of Manufacturing Processes, Engineering & Technology
Journal of Environmental Sciences, Multidisciplinary
Ain Shams Engineering Journal, Engineering & Technology
Highlights in Business Economics and Management, Business & Economics
Demonstratio Mathematica, Physical Sciences
Communications in Nonlinear Science and Numerical Simulation, Social Sciences
Advances in Sample Preparation, Multidisciplinary
TrAC Trends in Analytical Chemistry, Physical Sciences
Talanta, Multidisciplinary
Progress in Nuclear Energy, Physical Sciences
Humanities and Social Sciences Communications, Humanities
Green Energy and Intelligent Transportation, Physical Sciences
